t,accept,accept2,solutions,rate
100.000000,5,5,10,1.000000
90.000000,6,4,10,1.000000
81.000000,3,4,10,0.700000
72.900000,1,3,10,0.400000
65.610000,2,3,10,0.500000
59.049000,2,4,10,0.600000
53.144100,3,5,10,0.800000
47.829690,1,5,10,0.600000
43.046721,4,1,10,0.500000
38.742049,3,2,10,0.500000
34.867844,2,3,10,0.500000
31.381060,3,4,10,0.700000
28.242954,3,1,10,0.400000
25.418658,2,4,10,0.600000
22.876792,2,2,10,0.400000
20.589113,0,0,10,0.000000
18.530202,0,0,10,0.000000
16.677182,0,2,10,0.200000
15.009464,3,2,10,0.500000
13.508517,2,0,10,0.200000
12.157665,0,0,10,0.000000
10.941899,0,0,10,0.000000
9.847709,0,0,10,0.000000
8.862938,0,0,10,0.000000
7.976644,0,0,10,0.000000
7.178980,0,1,10,0.100000
6.461082,0,0,10,0.000000
5.814974,2,0,10,0.200000
5.233476,0,0,10,0.000000
4.710129,0,0,10,0.000000
4.239116,0,0,10,0.000000
3.815204,0,0,10,0.000000
3.433684,0,0,10,0.000000
3.090315,0,0,10,0.000000
2.781284,0,0,10,0.000000
2.503156,0,0,10,0.000000
2.252840,0,0,10,0.000000
2.027556,0,0,10,0.000000
1.824800,0,0,10,0.000000
1.642320,0,0,10,0.000000
1.478088,0,0,10,0.000000
1.330279,0,0,10,0.000000
1.197252,0,0,10,0.000000
1.077526,0,0,10,0.000000
