t,p0,p1,p2,p3,c0,c1,c2,c3
100.000000,0,10,0,0,0.000000,1.000000,0.000000,0.000000
90.000000,0,10,0,0,0.000000,1.000000,0.000000,0.000000
81.000000,0,10,0,0,0.000000,1.000000,0.000000,0.000000
72.900000,0,10,0,0,0.000000,1.000000,0.000000,0.000000
65.610000,0,10,0,0,0.000000,1.000000,0.000000,0.000000
59.049000,0,10,0,0,0.000000,1.000000,0.000000,0.000000
53.144100,0,10,0,0,0.000000,1.000000,0.000000,0.000000
47.829690,0,10,0,0,0.000000,1.000000,0.000000,0.000000
43.046721,0,9,1,0,0.000000,1.000000,1.000000,0.000000
38.742049,0,0,10,0,0.000000,0.000000,1.000000,0.000000
34.867844,0,0,10,0,0.000000,0.000000,1.000000,0.000000
31.381060,0,0,10,0,0.000000,0.000000,1.000000,0.000000
28.242954,0,0,10,0,0.000000,0.000000,1.000000,0.000000
25.418658,0,0,10,0,0.000000,0.000000,1.000000,0.000000
22.876792,0,0,10,0,0.000000,0.000000,1.000000,0.000000
20.589113,0,0,10,0,0.000000,0.000000,1.000000,0.000000
18.530202,0,0,0,10,0.000000,0.000000,0.000000,1.000000
16.677182,0,0,0,10,0.000000,0.000000,0.000000,1.000000
15.009464,0,0,0,10,0.000000,0.000000,0.000000,1.000000
13.508517,0,0,0,10,0.000000,0.000000,0.000000,1.000000
12.157665,7,0,0,3,1.000000,0.000000,0.000000,1.000000
10.941899,10,0,0,0,1.000000,0.000000,0.000000,0.000000
9.847709,10,0,0,0,1.000000,0.000000,0.000000,0.000000
8.862938,10,0,0,0,1.000000,0.000000,0.000000,0.000000
7.976644,10,0,0,0,1.000000,0.000000,0.000000,0.000000
7.178980,10,0,0,0,1.000000,0.000000,0.000000,0.000000
6.461082,10,0,0,0,1.000000,0.000000,0.000000,0.000000
5.814974,10,0,0,0,1.000000,0.000000,0.000000,0.000000
5.233476,10,0,0,0,1.000000,0.000000,0.000000,0.000000
4.710129,10,0,0,0,1.000000,0.000000,0.000000,0.000000
4.239116,10,0,0,0,1.000000,0.000000,0.000000,0.000000
3.815204,10,0,0,0,1.000000,0.000000,0.000000,0.000000
3.433684,10,0,0,0,1.000000,0.000000,0.000000,0.000000
3.090315,10,0,0,0,1.000000,0.000000,0.000000,0.000000
2.781284,10,0,0,0,1.000000,0.000000,0.000000,0.000000
2.503156,10,0,0,0,1.000000,0.000000,0.000000,0.000000
2.252840,10,0,0,0,1.000000,0.000000,0.000000,0.000000
2.027556,10,0,0,0,1.000000,0.000000,0.000000,0.000000
1.824800,10,0,0,0,1.000000,0.000000,0.000000,0.000000
1.642320,10,0,0,0,1.000000,0.000000,0.000000,0.000000
1.478088,10,0,0,0,1.000000,0.000000,0.000000,0.000000
1.330279,10,0,0,0,1.000000,0.000000,0.000000,0.000000
1.197252,10,0,0,0,1.000000,0.000000,0.000000,0.000000
1.077526,10,0,0,0,1.000000,0.000000,0.000000,0.000000
