t,accept,accept2,solutions,rate
100.000000,30,32,100,0.620000
95.000000,16,24,100,0.400000
90.250000,18,21,100,0.390000
85.737500,27,29,102,0.549020
81.450625,20,22,102,0.411765
77.378094,21,15,100,0.360000
73.509189,22,23,102,0.441176
69.833730,8,12,102,0.196078
66.342043,18,18,100,0.360000
63.024941,19,18,100,0.370000
59.873694,15,12,103,0.262136
56.880009,11,14,100,0.250000
54.036009,12,9,102,0.205882
51.334208,9,13,101,0.217822
48.767498,4,4,101,0.079208
46.329123,3,2,101,0.049505
44.012667,2,4,101,0.059406
41.812034,7,14,103,0.203883
39.721432,5,7,100,0.120000
37.735360,11,9,100,0.200000
35.848592,3,6,102,0.088235
34.056163,13,8,102,0.205882
32.353354,8,12,101,0.198020
30.735687,2,2,103,0.038835
29.198902,3,0,100,0.030000
27.738957,1,2,101,0.029703
26.352009,0,0,100,0.000000
25.034409,0,0,100,0.000000
23.782689,0,0,100,0.000000
22.593554,0,1,100,0.010000
21.463876,1,0,101,0.009901
20.390683,0,0,100,0.000000
19.371148,0,0,100,0.000000
18.402591,0,0,100,0.000000
17.482461,0,0,100,0.000000
16.608338,1,0,100,0.010000
15.777921,0,0,100,0.000000
14.989025,1,0,102,0.009804
14.239574,0,0,100,0.000000
13.527595,0,0,100,0.000000
12.851216,0,0,100,0.000000
12.208655,0,0,100,0.000000
11.598222,0,0,100,0.000000
11.018311,0,0,100,0.000000
10.467395,0,0,100,0.000000
9.944026,0,0,100,0.000000
9.446824,0,0,100,0.000000
8.974483,0,0,100,0.000000
8.525759,0,0,100,0.000000
8.099471,0,0,100,0.000000
7.694498,0,0,100,0.000000
7.309773,0,0,100,0.000000
6.944284,0,0,100,0.000000
6.597070,0,0,100,0.000000
6.267216,0,0,100,0.000000
5.953856,0,0,100,0.000000
5.656163,0,0,100,0.000000
5.373355,0,0,100,0.000000
5.104687,0,0,100,0.000000
4.849453,1,0,100,0.010000
4.606980,0,0,100,0.000000
4.376631,0,0,100,0.000000
4.157799,0,0,100,0.000000
3.949909,0,0,100,0.000000
3.752414,0,0,100,0.000000
3.564793,0,0,100,0.000000
3.386554,0,0,100,0.000000
3.217226,0,0,100,0.000000
3.056365,0,0,100,0.000000
2.903546,0,0,100,0.000000
2.758369,0,0,100,0.000000
2.620451,0,0,100,0.000000
2.489428,0,0,100,0.000000
2.364957,0,0,100,0.000000
2.246709,0,0,100,0.000000
2.134373,0,0,100,0.000000
2.027655,0,0,100,0.000000
1.926272,0,0,100,0.000000
1.829958,0,0,100,0.000000
1.738460,0,0,100,0.000000
1.651537,0,0,100,0.000000
1.568961,0,0,100,0.000000
1.490513,0,0,100,0.000000
1.415987,0,0,100,0.000000
1.345188,0,0,100,0.000000
1.277928,0,0,100,0.000000
1.214032,0,0,100,0.000000
1.153330,0,0,100,0.000000
1.095664,0,0,100,0.000000
1.040880,0,0,100,0.000000
