t,p0,p1,p2,p3,c0,c1,c2,c3
100.000000,0,21,23,0,0.000000,2.333333,2.217391,0.000000
95.000000,0,0,13,30,0.000000,0.000000,2.153846,2.400000
90.250000,0,0,11,32,0.000000,0.000000,2.090909,2.406250
85.737500,0,0,5,41,0.000000,0.000000,2.400000,2.195122
81.450625,0,0,6,36,0.000000,0.000000,2.333333,2.444444
77.378094,0,0,0,43,0.000000,0.000000,0.000000,2.325581
73.509189,0,0,0,43,0.000000,0.000000,0.000000,2.372093
69.833730,13,0,0,23,3.153846,0.000000,0.000000,2.652174
66.342043,36,0,0,8,2.305556,0.000000,0.000000,2.125000
63.024941,0,0,0,41,0.000000,0.000000,0.000000,2.439024
59.873694,35,0,0,5,2.542857,0.000000,0.000000,2.800000
56.880009,24,0,0,14,2.666667,0.000000,0.000000,2.571429
54.036009,36,0,0,0,2.833333,0.000000,0.000000,0.000000
51.334208,37,0,0,0,2.729730,0.000000,0.000000,0.000000
48.767498,29,0,0,0,3.482759,0.000000,0.000000,0.000000
46.329123,27,0,0,0,3.740741,0.000000,0.000000,0.000000
44.012667,29,0,0,0,3.482759,0.000000,0.000000,0.000000
41.812034,35,0,0,0,2.942857,0.000000,0.000000,0.000000
39.721432,30,0,0,0,3.333333,0.000000,0.000000,0.000000
37.735360,35,0,0,0,2.857143,0.000000,0.000000,0.000000
35.848592,28,0,0,0,3.642857,0.000000,0.000000,0.000000
34.056163,37,0,0,0,2.756757,0.000000,0.000000,0.000000
32.353354,36,0,0,0,2.805556,0.000000,0.000000,0.000000
30.735687,27,0,0,0,3.814815,0.000000,0.000000,0.000000
29.198902,26,0,0,0,3.846154,0.000000,0.000000,0.000000
27.738957,26,0,0,0,3.884615,0.000000,0.000000,0.000000
26.352009,25,0,0,0,4.000000,0.000000,0.000000,0.000000
25.034409,25,0,0,0,4.000000,0.000000,0.000000,0.000000
23.782689,25,0,0,0,4.000000,0.000000,0.000000,0.000000
22.593554,25,0,0,0,4.000000,0.000000,0.000000,0.000000
21.463876,26,0,0,0,3.884615,0.000000,0.000000,0.000000
20.390683,25,0,0,0,4.000000,0.000000,0.000000,0.000000
19.371148,25,0,0,0,4.000000,0.000000,0.000000,0.000000
18.402591,25,0,0,0,4.000000,0.000000,0.000000,0.000000
17.482461,25,0,0,0,4.000000,0.000000,0.000000,0.000000
16.608338,25,0,0,0,4.000000,0.000000,0.000000,0.000000
15.777921,25,0,0,0,4.000000,0.000000,0.000000,0.000000
14.989025,26,0,0,0,3.923077,0.000000,0.000000,0.000000
14.239574,25,0,0,0,4.000000,0.000000,0.000000,0.000000
13.527595,25,0,0,0,4.000000,0.000000,0.000000,0.000000
12.851216,25,0,0,0,4.000000,0.000000,0.000000,0.000000
12.208655,25,0,0,0,4.000000,0.000000,0.000000,0.000000
11.598222,25,0,0,0,4.000000,0.000000,0.000000,0.000000
11.018311,25,0,0,0,4.000000,0.000000,0.000000,0.000000
10.467395,25,0,0,0,4.000000,0.000000,0.000000,0.000000
9.944026,25,0,0,0,4.000000,0.000000,0.000000,0.000000
9.446824,25,0,0,0,4.000000,0.000000,0.000000,0.000000
8.974483,25,0,0,0,4.000000,0.000000,0.000000,0.000000
8.525759,25,0,0,0,4.000000,0.000000,0.000000,0.000000
8.099471,25,0,0,0,4.000000,0.000000,0.000000,0.000000
7.694498,25,0,0,0,4.000000,0.000000,0.000000,0.000000
7.309773,25,0,0,0,4.000000,0.000000,0.000000,0.000000
6.944284,25,0,0,0,4.000000,0.000000,0.000000,0.000000
6.597070,25,0,0,0,4.000000,0.000000,0.000000,0.000000
6.267216,25,0,0,0,4.000000,0.000000,0.000000,0.000000
5.953856,25,0,0,0,4.000000,0.000000,0.000000,0.000000
5.656163,25,0,0,0,4.000000,0.000000,0.000000,0.000000
5.373355,25,0,0,0,4.000000,0.000000,0.000000,0.000000
5.104687,25,0,0,0,4.000000,0.000000,0.000000,0.000000
4.849453,25,0,0,0,4.000000,0.000000,0.000000,0.000000
4.606980,25,0,0,0,4.000000,0.000000,0.000000,0.000000
4.376631,25,0,0,0,4.000000,0.000000,0.000000,0.000000
4.157799,25,0,0,0,4.000000,0.000000,0.000000,0.000000
3.949909,25,0,0,0,4.000000,0.000000,0.000000,0.000000
3.752414,25,0,0,0,4.000000,0.000000,0.000000,0.000000
3.564793,25,0,0,0,4.000000,0.000000,0.000000,0.000000
3.386554,25,0,0,0,4.000000,0.000000,0.000000,0.000000
3.217226,25,0,0,0,4.000000,0.000000,0.000000,0.000000
3.056365,25,0,0,0,4.000000,0.000000,0.000000,0.000000
2.903546,25,0,0,0,4.000000,0.000000,0.000000,0.000000
2.758369,25,0,0,0,4.000000,0.000000,0.000000,0.000000
2.620451,25,0,0,0,4.000000,0.000000,0.000000,0.000000
2.489428,25,0,0,0,4.000000,0.000000,0.000000,0.000000
2.364957,25,0,0,0,4.000000,0.000000,0.000000,0.000000
