t,accept,accept2,solutions,rate
100.000000,5,4,10,0.900000
95.000000,4,8,12,1.000000
90.250000,5,6,13,0.846154
85.737500,2,6,10,0.800000
81.450625,3,3,10,0.600000
77.378094,1,4,11,0.454545
73.509189,3,6,12,0.750000
69.833730,4,4,10,0.800000
66.342043,5,2,11,0.636364
63.024941,5,5,12,0.833333
59.873694,1,2,10,0.300000
56.880009,5,4,10,0.900000
54.036009,4,2,11,0.545455
51.334208,5,4,11,0.818182
48.767498,3,6,12,0.750000
46.329123,3,3,10,0.600000
44.012667,2,3,11,0.454545
41.812034,3,3,10,0.600000
39.721432,4,1,11,0.454545
37.735360,1,4,10,0.500000
35.848592,1,0,10,0.100000
34.056163,0,0,10,0.000000
32.353354,3,4,10,0.700000
30.735687,1,3,10,0.400000
29.198902,2,4,11,0.545455
27.738957,3,2,12,0.416667
26.352009,2,2,10,0.400000
25.034409,2,1,10,0.300000
23.782689,1,0,11,0.090909
22.593554,0,0,10,0.000000
21.463876,3,2,12,0.416667
20.390683,1,2,12,0.250000
19.371148,1,3,10,0.400000
18.402591,1,5,12,0.500000
17.482461,2,2,11,0.363636
16.608338,2,0,10,0.200000
15.777921,1,0,11,0.090909
14.989025,0,1,13,0.076923
14.239574,0,0,12,0.000000
13.527595,0,1,13,0.076923
12.851216,2,3,13,0.384615
12.208655,1,2,10,0.300000
11.598222,2,0,13,0.153846
11.018311,1,1,13,0.153846
10.467395,0,1,11,0.090909
9.944026,0,0,12,0.000000
9.446824,0,0,12,0.000000
8.974483,0,1,12,0.083333
8.525759,0,1,10,0.100000
8.099471,0,0,12,0.000000
7.694498,0,0,12,0.000000
7.309773,0,0,12,0.000000
6.944284,1,0,12,0.083333
6.597070,0,1,11,0.090909
6.267216,1,0,10,0.100000
5.953856,0,0,12,0.000000
5.656163,0,0,12,0.000000
5.373355,0,0,12,0.000000
5.104687,0,0,12,0.000000
4.849453,0,0,12,0.000000
4.606980,0,0,12,0.000000
4.376631,0,0,12,0.000000
4.157799,0,2,10,0.200000
3.949909,0,0,12,0.000000
3.752414,0,0,12,0.000000
3.564793,0,0,12,0.000000
3.386554,0,0,12,0.000000
3.217226,0,0,12,0.000000
3.056365,0,0,12,0.000000
2.903546,0,0,12,0.000000
2.758369,0,0,12,0.000000
2.620451,0,0,12,0.000000
2.489428,0,0,12,0.000000
2.364957,0,1,10,0.100000
2.246709,0,0,12,0.000000
2.134373,0,1,11,0.090909
2.027655,0,0,12,0.000000
1.926272,0,0,12,0.000000
1.829958,0,0,12,0.000000
1.738460,0,0,12,0.000000
1.651537,0,0,12,0.000000
1.568961,0,0,12,0.000000
1.490513,0,0,12,0.000000
1.415987,0,0,12,0.000000
1.345188,0,0,12,0.000000
1.277928,0,0,12,0.000000
1.214032,0,0,12,0.000000
1.153330,0,0,12,0.000000
1.095664,0,0,12,0.000000
1.040880,0,0,12,0.000000
