t,p0,p1,p2,p3,c0,c1,c2,c3
100.000000,0,3,0,0,0.000000,3.333333,0.000000,0.000000
95.000000,0,3,0,0,0.000000,4.000000,0.000000,0.000000
90.250000,0,4,0,0,0.000000,3.250000,0.000000,0.000000
85.737500,0,3,0,0,0.000000,3.333333,0.000000,0.000000
81.450625,0,5,0,0,0.000000,2.000000,0.000000,0.000000
77.378094,0,7,0,0,0.000000,1.571429,0.000000,0.000000
73.509189,0,4,0,0,0.000000,3.000000,0.000000,0.000000
69.833730,0,4,0,0,0.000000,2.500000,0.000000,0.000000
66.342043,0,5,0,0,0.000000,2.200000,0.000000,0.000000
63.024941,0,4,0,0,0.000000,3.000000,0.000000,0.000000
59.873694,0,7,1,0,0.000000,1.000000,3.000000,0.000000
56.880009,0,1,3,0,0.000000,1.000000,3.000000,0.000000
54.036009,0,1,4,0,0.000000,1.000000,2.500000,0.000000
51.334208,0,0,4,0,0.000000,0.000000,2.750000,0.000000
48.767498,0,4,1,0,0.000000,2.250000,3.000000,0.000000
46.329123,0,5,0,0,0.000000,2.000000,0.000000,0.000000
44.012667,0,3,3,0,0.000000,1.000000,2.666667,0.000000
41.812034,0,0,4,0,0.000000,0.000000,2.500000,0.000000
39.721432,0,0,5,0,0.000000,0.000000,2.200000,0.000000
37.735360,0,0,5,0,0.000000,0.000000,2.000000,0.000000
35.848592,0,0,5,0,0.000000,0.000000,2.000000,0.000000
34.056163,0,0,5,0,0.000000,0.000000,2.000000,0.000000
32.353354,0,0,0,5,0.000000,0.000000,0.000000,2.000000
30.735687,0,0,0,4,0.000000,0.000000,0.000000,2.500000
29.198902,0,0,0,5,0.000000,0.000000,0.000000,2.200000
27.738957,0,0,0,5,0.000000,0.000000,0.000000,2.400000
26.352009,0,0,0,4,0.000000,0.000000,0.000000,2.500000
25.034409,0,0,0,4,0.000000,0.000000,0.000000,2.500000
23.782689,0,0,0,4,0.000000,0.000000,0.000000,2.750000
22.593554,1,0,0,2,4.000000,0.000000,0.000000,3.000000
21.463876,3,0,0,3,1.666667,0.000000,0.000000,2.333333
20.390683,0,0,0,5,0.000000,0.000000,0.000000,2.400000
19.371148,4,0,0,0,2.500000,0.000000,0.000000,0.000000
18.402591,6,0,0,1,1.500000,0.000000,0.000000,3.000000
17.482461,5,0,0,0,2.200000,0.000000,0.000000,0.000000
16.608338,4,0,0,0,2.500000,0.000000,0.000000,0.000000
15.777921,3,0,0,0,3.666667,0.000000,0.000000,0.000000
14.989025,4,0,0,0,3.250000,0.000000,0.000000,0.000000
14.239574,3,0,0,0,4.000000,0.000000,0.000000,0.000000
13.527595,4,0,0,0,3.250000,0.000000,0.000000,0.000000
12.851216,5,0,0,0,2.600000,0.000000,0.000000,0.000000
12.208655,4,0,0,0,2.500000,0.000000,0.000000,0.000000
11.598222,4,0,0,0,3.250000,0.000000,0.000000,0.000000
11.018311,4,0,0,0,3.250000,0.000000,0.000000,0.000000
